Island,Country,Country Code,Overall Rank,Average Rank,Air Quality Rank,Hiking Trails Rank,Resaurants with Vegan and Veggie Options Rank,Wellness Retreats Rank,Yoga & Pilates Rank,Health Clubs and Gyms Rank,Spas Rank,Air Quality,Total Number of Hiking Trails,Total Number of Restaurants with Vegan and Vegetarian Options ,Total Number of Wellness Retreats,Total Number of Yoga & Pilates ,Total Number of Gyms,Total Number of Spas
Mykonos,Greece,GR,1,4.714285714,10,6,4,4,2,3,4,40,30,45,5,9,4,21
Phuket,Thailand,TH,2,4.714285714,13,5,6,3,4,1,1,41,271,231,40,35,61,510
Ibiza,Spain,ES,3,5.142857143,4,8,7,2,3,5,7,25,101,126,38,30,7,33
Koh Phangan,Thailand,TH,4,5.857142857,14,19,2,1,1,2,2,43,0,175,21,24,8,57
Santorini,Greece,GR,5,7.857142857,11,7,1,6,7,20,3,40,45,425,4,1,0,36
Zakynthos,Greece,GR,6,8.142857143,8,10,10,7,5,7,10,37,31,56,7,4,5,13
Hvar,Croatia,HR,7,10.14285714,15,4,5,5,17,17,8,45,50,39,3,0,0,5
Tenerife,Spain,ES,8,10.28571429,7,9,13,10,9,12,12,37,912,427,25,38,17,123
Bali,Indonesia,ID,9,10.71428571,2,18,18,9,8,11,9,23,264,942,231,181,92,"1,477"
Capri,Italy,IT,10,11.14285714,19,3,8,17,16,4,11,54,45,16,0,0,2,1
Pag,Croatia,HR,11,11.28571429,3,1,11,19,20,19,6,24,444,4,0,0,0,3
Mallorca,Spain,ES,12,11.71428571,1,12,14,12,10,16,17,20,613,372,18,22,4,54
Cyprus,Cyprus,CY,13,12.14285714,9,13,15,13,12,10,13,40,239,404,20,18,27,159
Kos,Greece,GR,14,12.28571429,16,11,9,8,19,8,15,45,28,68,2,0,2,3
Malta,Malta,MT,15,12.71428571,17,15,12,11,11,9,14,47,51,304,12,9,16,66
Ios,Greece,GR,16,13,12,2,3,18,18,18,20,41,18,15,0,0,0,0
Punta Cana,Dominican Republic,DO,17,13,18,20,16,20,6,6,5,51,0,12,0,4,6,40
Cancun,Mexico,MX,18,14.57142857,6,16,19,16,14,13,18,31,59,65,0,4,13,40
Sardinia,Italy,IT,19,14.57142857,5,14,20,14,15,15,19,26,295,89,12,5,10,47
Barbados,Barbados,BB,20,16,20,17,17,15,13,14,16,59,18,66,2,4,2,21
